period,电厂名称,机组编号,机组类型,P1(MW),C1(元/MWh),P2(MW),C2(元/MWh),P3(MW),C3(元/MWh),P4(MW),C4(元/MWh),P5(MW),C5(元/MWh),P6(MW),C6(元/MWh),P7(MW),C7(元/MWh),P8(MW),C8(元/MWh),P9(MW),C9(元/MWh),P10(MW),C10(元/MWh)
73,江北电厂,G2,火电,101.2,209.9,73.6,279.9,50.6,354.9,,,,,,,,,,,,,,
73,沿海风电场,W1,风电,48.2,0.0,,,,,,,,,,,,,,,,,,
73,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
74,金陵电厂,G1,火电,120.0,189.8,90.0,259.8,60.0,334.8,,,,,,,,,,,,,,
74,江北电厂,G2,火电,101.2,209.8,73.6,279.8,50.6,354.8,,,,,,,,,,,,,,
74,沿海风电场,W1,风电,49.7,0.0,,,,,,,,,,,,,,,,,,
74,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
75,金陵电厂,G1,火电,120.0,189.7,90.0,259.7,60.0,334.7,,,,,,,,,,,,,,
75,江北电厂,G2,火电,101.2,209.7,73.6,279.7,50.6,354.7,,,,,,,,,,,,,,
75,沿海风电场,W1,风电,51.1,0.0,,,,,,,,,,,,,,,,,,
75,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
76,金陵电厂,G1,火电,120.0,189.6,90.0,259.6,60.0,334.6,,,,,,,,,,,,,,
76,江北电厂,G2,火电,101.2,209.6,73.6,279.6,50.6,354.6,,,,,,,,,,,,,,
76,沿海风电场,W1,风电,52.5,0.0,,,,,,,,,,,,,,,,,,
76,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
77,金陵电厂,G1,火电,120.0,189.5,90.0,259.5,60.0,334.5,,,,,,,,,,,,,,
77,江北电厂,G2,火电,101.2,209.5,73.6,279.5,50.6,354.5,,,,,,,,,,,,,,
77,沿海风电场,W1,风电,53.6,0.0,,,,,,,,,,,,,,,,,,
77,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
78,金陵电厂,G1,火电,120.0,189.2,90.0,259.2,60.0,334.2,,,,,,,,,,,,,,
78,江北电厂,G2,火电,101.2,209.2,73.6,279.2,50.6,354.2,,,,,,,,,,,,,,
78,沿海风电场,W1,风电,54.4,0.0,,,,,,,,,,,,,,,,,,
78,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
79,金陵电厂,G1,火电,120.0,189.0,90.0,259.0,60.0,334.0,,,,,,,,,,,,,,
79,江北电厂,G2,火电,101.2,209.0,73.6,279.0,50.6,354.0,,,,,,,,,,,,,,
79,沿海风电场,W1,风电,55.0,0.0,,,,,,,,,,,,,,,,,,
79,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
80,金陵电厂,G1,火电,120.0,188.7,90.0,258.7,60.0,333.7,,,,,,,,,,,,,,
80,江北电厂,G2,火电,101.2,208.7,73.6,278.7,50.6,353.7,,,,,,,,,,,,,,
80,沿海风电场,W1,风电,55.3,0.0,,,,,,,,,,,,,,,,,,
80,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
81,金陵电厂,G1,火电,120.0,188.4,90.0,258.4,60.0,333.4,,,,,,,,,,,,,,
81,江北电厂,G2,火电,101.2,208.4,73.6,278.4,50.6,353.4,,,,,,,,,,,,,,
81,沿海风电场,W1,风电,55.3,0.0,,,,,,,,,,,,,,,,,,
81,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
82,金陵电厂,G1,火电,120.0,188.1,90.0,258.1,60.0,333.1,,,,,,,,,,,,,,
82,江北电厂,G2,火电,101.2,208.1,73.6,278.1,50.6,353.1,,,,,,,,,,,,,,
82,沿海风电场,W1,风电,55.1,0.0,,,,,,,,,,,,,,,,,,
82,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
83,金陵电厂,G1,火电,120.0,187.7,90.0,257.7,60.0,332.7,,,,,,,,,,,,,,
83,江北电厂,G2,火电,101.2,207.7,73.6,277.7,50.6,352.7,,,,,,,,,,,,,,
83,沿海风电场,W1,风电,54.6,0.0,,,,,,,,,,,,,,,,,,
83,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
84,金陵电厂,G1,火电,120.0,187.3,90.0,257.3,60.0,332.3,,,,,,,,,,,,,,
84,江北电厂,G2,火电,101.2,207.3,73.6,277.3,50.6,352.3,,,,,,,,,,,,,,
84,沿海风电场,W1,风电,54.0,0.0,,,,,,,,,,,,,,,,,,
84,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
85,金陵电厂,G1,火电,120.0,187.0,90.0,257.0,60.0,332.0,,,,,,,,,,,,,,
85,江北电厂,G2,火电,101.2,207.0,73.6,277.0,50.6,352.0,,,,,,,,,,,,,,
85,沿海风电场,W1,风电,53.4,0.0,,,,,,,,,,,,,,,,,,
85,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
86,金陵电厂,G1,火电,120.0,186.5,90.0,256.5,60.0,331.5,,,,,,,,,,,,,,
86,江北电厂,G2,火电,101.2,206.5,73.6,276.5,50.6,351.5,,,,,,,,,,,,,,
86,沿海风电场,W1,风电,52.7,0.0,,,,,,,,,,,,,,,,,,
86,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
87,金陵电厂,G1,火电,120.0,186.1,90.0,256.1,60.0,331.1,,,,,,,,,,,,,,
87,江北电厂,G2,火电,101.2,206.1,73.6,276.1,50.6,351.1,,,,,,,,,,,,,,
87,沿海风电场,W1,风电,52.2,0.0,,,,,,,,,,,,,,,,,,
87,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
88,金陵电厂,G1,火电,120.0,185.6,90.0,255.6,60.0,330.6,,,,,,,,,,,,,,
88,江北电厂,G2,火电,101.2,205.6,73.6,275.6,50.6,350.6,,,,,,,,,,,,,,
88,沿海风电场,W1,风电,51.8,0.0,,,,,,,,,,,,,,,,,,
88,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
89,金陵电厂,G1,火电,120.0,185.2,90.0,255.2,60.0,330.2,,,,,,,,,,,,,,
89,江北电厂,G2,火电,101.2,205.2,73.6,275.2,50.6,350.2,,,,,,,,,,,,,,
89,沿海风电场,W1,风电,51.6,0.0,,,,,,,,,,,,,,,,,,
89,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
90,金陵电厂,G1,火电,120.0,184.7,90.0,254.7,60.0,329.7,,,,,,,,,,,,,,
90,江北电厂,G2,火电,101.2,204.7,73.6,274.7,50.6,349.7,,,,,,,,,,,,,,
90,沿海风电场,W1,风电,51.8,0.0,,,,,,,,,,,,,,,,,,
90,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
91,金陵电厂,G1,火电,120.0,184.3,90.0,254.3,60.0,329.3,,,,,,,,,,,,,,
91,江北电厂,G2,火电,101.2,204.3,73.6,274.3,50.6,349.3,,,,,,,,,,,,,,
91,沿海风电场,W1,风电,52.2,0.0,,,,,,,,,,,,,,,,,,
91,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
92,金陵电厂,G1,火电,120.0,183.8,90.0,253.8,60.0,328.8,,,,,,,,,,,,,,
92,江北电厂,G2,火电,101.2,203.8,73.6,273.8,50.6,348.8,,,,,,,,,,,,,,
92,沿海风电场,W1,风电,53.0,0.0,,,,,,,,,,,,,,,,,,
92,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
93,金陵电厂,G1,火电,120.0,183.4,90.0,253.4,60.0,328.4,,,,,,,,,,,,,,
93,江北电厂,G2,火电,101.2,203.4,73.6,273.4,50.6,348.4,,,,,,,,,,,,,,
93,沿海风电场,W1,风电,54.1,0.0,,,,,,,,,,,,,,,,,,
93,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
94,金陵电厂,G1,火电,120.0,183.0,90.0,253.0,60.0,328.0,,,,,,,,,,,,,,
94,江北电厂,G2,火电,101.2,203.0,73.6,273.0,50.6,348.0,,,,,,,,,,,,,,
94,沿海风电场,W1,风电,55.5,0.0,,,,,,,,,,,,,,,,,,
94,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
95,金陵电厂,G1,火电,120.0,182.7,90.0,252.7,60.0,327.7,,,,,,,,,,,,,,
95,江北电厂,G2,火电,101.2,202.7,73.6,272.7,50.6,347.7,,,,,,,,,,,,,,
95,沿海风电场,W1,风电,57.1,0.0,,,,,,,,,,,,,,,,,,
95,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
96,金陵电厂,G1,火电,120.0,182.3,90.0,252.3,60.0,327.3,,,,,,,,,,,,,,
96,江北电厂,G2,火电,101.2,202.3,73.6,272.3,50.6,347.3,,,,,,,,,,,,,,
96,沿海风电场,W1,风电,58.8,0.0,,,,,,,,,,,,,,,,,,
96,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
